"Kierunek","kierunek_lc"
"stadion olimpijski","stadion olimpijski"
"Stadion Olimpijski","stadion olimpijski"
"STADION OLIMPIJSKI","stadion olimpijski"
"Stadion Olimpijski ","stadion olimpijski "
"Stadion Olimpijski Pn/t(24208)","stadion olimpijski pn/t(24208)"
"STADION WROCŁAW (Królewiecka","stadion wrocław (królewiecka"
"STADION WROCŁAW (Królewiecka)","stadion wrocław (królewiecka)"
"STADION WROCŁAW (Królewiecka) ","stadion wrocław (królewiecka) "
"STADION WROCŁAW (Królewiecka) 31PLUS(18402)","stadion wrocław (królewiecka) 31plus(18402)"
"Stępin","stępin"
"STĘPIN - pętla","stępin - pętla"
"STĘPIN - pętla 905(326171)","stępin - pętla 905(326171)"
"Szymanów","szymanów"
"SZYMANÓW","szymanów"
"SZYMANÓW ","szymanów "
"SZYMANÓW 908(227905)","szymanów 908(227905)"
"Ślazowa (pętla) 140(23314)","ślazowa (pętla) 140(23314)"
"Świniary","świniary"
"ŚWINIARY","świniary"
"ŚWINIARY ","świniary "
"ŚWINIARY 116(23515)","świniary 116(23515)"
"ŚW. KATARZYNA","św. katarzyna"
"ŚW KATARZYNA","św katarzyna"
"ŚW. Katarzyna - stacja 910(524917)","św. katarzyna - stacja 910(524917)"
"Tarnogaj","tarnogaj"
"TARNOGAJ ","tarnogaj "
"TARNOGAJ 10:0(21152)","tarnogaj 10:0(21152)"
"TARNOGAJ 100(21152)","tarnogaj 100(21152)"
"TARNOGAJ 134(21154)","tarnogaj 134(21154)"
"TARNOGAJ 8/16(21022)","tarnogaj 8/16(21022)"
"TRESTNO","trestno"
"TRESTNO (Pętla) 120(524953)","trestno (pętla) 120(524953)"
"Wilkszyn","wilkszyn"
"Wilkszyn PdW/a(911925)","wilkszyn pdw/a(911925)"
"WOJNÓW (pętla) 115/118(425900)","wojnów (pętla) 115/118(425900)"
"WOJSZYCKA","wojszycka"
"Wojszycka ","wojszycka "
"Wojszycka 144(16524)","wojszycka 144(16524)"
"Wrocław","wrocław"
"WROCŁAW","wrocław"
"Wrocławski Park Przemysłowy ","wrocławski park przemysłowy "
"Wrocławski Park Przemysłowy 23(12002)","wrocławski park przemysłowy 23(12002)"
"w stronę Popowic","w stronę popowic"
"ZABRODZIE","zabrodzie"
"ZABRODZIE 133(812987)","zabrodzie 133(812987)"
"ZAJEZDNIA","zajezdnia"
"Zajezdnia Borek","zajezdnia borek"
"ZAJEZDNIA BOREK","zajezdnia borek"
"Zajezdnia BOREK IV","zajezdnia borek iv"
"Zajezdnia BOREK IVb(4)","zajezdnia borek ivb(4)"
"Zajezdnia BOREK IV b(4)","zajezdnia borek iv b(4)"
"zajezdnia dąbie","zajezdnia dąbie"
"Zajezdnia DĄBIE VI","zajezdnia dąbie vi"
"Zajezdnia DĄBIE VI(6)","zajezdnia dąbie vi(6)"
"Zajezdnia Gaj","zajezdnia gaj"
"Zajezdnia GAJ","zajezdnia gaj"
"ZAJEZDNIA GAJ","zajezdnia gaj"
"Zajezdnia Gaj I","zajezdnia gaj i"
"Zajezdnia GAJ I(1)","zajezdnia gaj i(1)"
"Zajezdnia Grabiszyńska","zajezdnia grabiszyńska"
"ZAJEZDNIA GRABISZYŃSKA","zajezdnia grabiszyńska"
"Zajezdnia Grabiszyńska VII","zajezdnia grabiszyńska vii"
"Zajezdnia Grabiszyńska VII(7)","zajezdnia grabiszyńska vii(7)"
"Zajezdnia Grabiszyńska VII (7)","zajezdnia grabiszyńska vii (7)"
"zajezdnia obornicka","zajezdnia obornicka"
"Zajezdnia Obornicka","zajezdnia obornicka"
"ZAJEZDNIA OBORNICKA","zajezdnia obornicka"
"Zajezdnia Obornicka IX","zajezdnia obornicka ix"
"Zajezdnia Obornicka IX(9)","zajezdnia obornicka ix(9)"
"ZAJEZDNIA OŁBIN","zajezdnia ołbin"
"Zajezdnia OŁBIN II","zajezdnia ołbin ii"
"Zajezdnia OŁBIN II(2)","zajezdnia ołbin ii(2)"
"ZAJEZDNIA UL.OBORNICKA","zajezdnia ul.obornicka"
"Zajezdnia ul. Grabiszyńska","zajezdnia ul. grabiszyńska"
"Zajezdnia ul. Obornicka","zajezdnia ul. obornicka"
"ZAJEZDNIA  GRABISZYŃSKA","zajezdnia  grabiszyńska"
"ZAJ.GRABISZYNSKA","zaj.grabiszynska"
"ZAJ. DĄBIE","zaj. dąbie"
"Zakrzów","zakrzów"
"ZAKRZÓW","zakrzów"
"ZAKRZÓW ","zakrzów "
"ZAKRZÓW 128(29507)","zakrzów 128(29507)"
"Zawalna","zawalna"
"ZAWALNA ","zawalna "
"ZAWALNA 8(23011)","zawalna 8(23011)"
"ZAWALNA aw/a(23181)","zawalna aw/a(23181)"
"ZĘBICE","zębice"
"ZĘBICE - pętla PdW/a(524962)","zębice - pętla pdw/a(524962)"
"ZIEBICE","ziebice"
"ZIĘBICE","ziębice"
"Z WROCŁAW","z wrocław"
"Z WROCŁAWIA","z wrocławia"
"ŻAR","żar"
"ŻAR W/a(18346)","żar w/a(18346)"
"Żerniki","żerniki"
"ŻERNIKI","żerniki"
"ŻERNIKI WROCŁAWSKIE","żerniki wrocławskie"
"ŻERNIKI WROCŁAWSKIE ","żerniki wrocławskie "
"ŻERNIKI WROCŁAWSKIE 910(524907)","żerniki wrocławskie 910(524907)"
" ZAJEZDNIA GRABISZYŃSKA"," zajezdnia grabiszyńska"
